job_key,job_description,ats_score,ats_score_explanation,error,relevance_explanation,relevance_score,selection_chance
job_2,"Job Summary: Python Developer
Python Developer with verification
Recro
Bengaluru, Karnataka, India (On-site)
Actively reviewing applicants
Viewed
Promoted
Easy Apply 

 Job Details: About the job

Location: Bengaluru, on-site




Experience: 3-6 yrs




Notice Period: Immediate




Note: Last round of interview would be face-to-face




Key Responsibilities:




Write clean, maintainable, and efficient Python code.
Design and implement scalable backend solutions using Python frameworks (e.g., Django, Flask, FastAPI).
Integrate with databases such as PostgreSQL, MySQL, or MongoDB.
Develop and maintain RESTful APIs.
Collaborate with front-end developers, designers, and other team members to deliver high-quality products.
Write unit and integration tests to ensure code quality.
Optimize applications for maximum performance and scalability.
Participate in code reviews and mentor junior developers if needed.




Required Skills & Qualifications:




Strong proficiency in Python and understanding of OOP principles.
Hands-on experience with one or more Python web frameworks (Django, Flask, FastAPI).
Experience with relational and non-relational databases.
Familiarity with version control tools (e.g., Git).
Knowledge of RESTful API design and integration.
Experience with cloud platforms (AWS, GCP, or Azure) is a plus.
Understanding of CI/CD processes is a bonus.
Bachelors degree in Computer Science, Engineering, or a related field.",9,"Piyush's profile is highly optimized for an ATS. It features a clear, standard format with explicit sections for skills, experience, and education. Crucially, it contains a high density of relevant keywords such as 'Python', 'Flask', 'Django', 'PostgreSQL', 'REST APIs', 'CI/CD', 'Azure', 'GCP', and 'Pytest' across the profile summary, technical skills, and work experience sections. The use of bullet points and quantifiable achievements will also be easily parsed and highly rated by ATS algorithms, ensuring a strong keyword match and readability.",,"This job is an excellent match for Piyush's profile. He possesses strong Python development skills, extensive experience with Flask, Django, PostgreSQL, REST APIs, CI/CD, and cloud platforms (Azure, GCP), all explicitly mentioned as required or bonus skills. His experience as a Software Engineer at Walmart Global Tech, including technical leadership, aligns well, despite being slightly below the 3-year minimum experience requested, which is often flexible for strong candidates. The only minor ambiguity is the 'verification' aspect of the job title, which isn't a primary focus of his listed experience, though he does mention testing.",9,9
job_1,"Job Summary: Data Engineer 2
Data Engineer 2
Yubi
Bangalore Urban, Karnataka, India (On-site)
Actively reviewing applicants
Applied 

 Job Details: About the job

Data Engineer 2

Position Summary:

 As a Data Engineer, you will be part of a highly talented Data Engineering team. Responsible for developing reusable capabilities and tools to automate various types of data processing pipelines. You will be contributing to different stages of data engineering like data acquisition, ingestion, processing, monitoring pipelines and validating data.

Your contribution will be really crucial in keeping various data ingestion and processing pipelines running successfully. Along with ensuring the data points available in the data lake are up to date, valid and usable. 

Technology Experience:

3+ years of experience in data engineering.
Comfortable and hands on with the Python programming.
Strong experience in working with RDBMS and NoSQL systems.
Strong experience in working on AWS ecosystem with hands-on experience in working with different AWS components like Airflow, EMR , Redshift, S3, Athena, PySpark etc.
Strong experience in developing REST APIs with Python using frameworks like flask, fastapi.
Prior experience in working with crawling libraries like BeautifulSoup in Python would be desirable.
Proven ability to work with SQL queries, including writing complex queries to retrieve key metrics. Skilled in connecting to, exploring, and understanding upstream data.
Experience working with various data lake storage format types and ability to choose it based on the use cases.

Responsibilities:

Design and build scalable data pipelines that can handle large volumes of data.
Develop ETL/ELT pipelines and extract the data from any upstream sources and sync with the data lakes with the format of parquet, iceberg, delta formats. 
Optimize and ensure the data pipelines are running successfully and ensure the business continuity.
Collaborate with cross functional teams and source all the data required for the business use cases.
Stay up-to-date with emerging data technologies and trends to ensure the continuous improvement of our data infrastructure and architecture
Follow best practices in data querying and manipulation to ensure data integrity.",7,"The profile is well-formatted and contains a strong density of crucial keywords such as 'Data Engineer,' 'Python,' 'ETL,' 'Airflow,' 'PySpark,' 'Flask,' 'SQL,' and 'Data Lake,' which are highly valued by ATS. However, it misses several specific AWS service keywords (EMR, Redshift, S3, Athena) and explicit mentions of data lake formats like Parquet, Iceberg, or Delta, which could slightly lower its ranking for those particular criteria. Despite these omissions, the overall keyword match for core competencies and experience level is robust enough to likely pass initial ATS screening.",,"The user's profile is a very strong match for a Data Engineer 2 role, demonstrating extensive experience in Python, ETL, scalable data pipelines, and API development, aligning well with the core responsibilities. The primary gap is the explicit mention of AWS ecosystem components (EMR, Redshift, S3, Athena), as the candidate's cloud experience leans heavily towards GCP/Azure, although common tools like Airflow and PySpark are present. The lack of specific data lake format keywords (parquet, iceberg, delta) is also a minor detractor, though general data lake experience is evident.",8,7
job_3,"Job Summary: Software Engineer (Backend)
Software Engineer (Backend) with verification
Games24x7
Bengaluru, Karnataka, India (On-site)
Actively reviewing applicants
Viewed
Promoted
Easy Apply 

 Job Details: About the job

Company Overview:




Games24x7 is Indias leading and most valuable multi-gaming unicorn. Were a full-stack gaming company, offering awesome game-playing experiences to over 100 million players through our products - Rummy Circle, Indias first and largest online rummy platform, My11Circle, the countrys fastest-growing fantasy sports platform.

A pioneer in the online skill gaming industry in India, Games24x7 was founded in 2006 when two New York University-trained economists Bhavin Pandya, and Trivikraman Thampy met at the computer lab and discovered their shared passion for online games. Weve always been a technology company at heart, and over the last decade and a half, weve built the organisation on a strong foundation of the science of gaming, leveraging behavioural science, artificial intelligence, and machine learning to provide immersive and hyper-personalised gaming experiences to each of our players.

Backed by marquee investors including Tiger Global Management, The Raine Group, and Malabar Investment Advisors, Games24x7 is leading the charge in Indias gaming revolution, constantly innovating and offering novel entertainment to players!

Our 800+ passionate teammates create their magic from our offices in Mumbai, Bengaluru, New Delhi, Miami.

For more information and career opportunities you may visit www.games24x7.com.




Summary of Role




The SDE-1 will be part of the Engineering/Development team in Play Games24x7 Pvt. Ltd. and will be responsible for taking ownership of the core products of the company. The applicant must have good communication, interpersonal, technical and analytical skills in order to take part in the collaborative and cooperative development process that delivers the high quality software we use to provide the best possible playing experience to our players. The applicant must be an expert in the Java programming language and needs to be familiar with popular IDEs, tools and scripting languages on the Linux operating system. Familiarity with an RDBMS, preferably MySQL, is essential to succeed in this position.




Responsibilities




 Participation in the requirements analysis, design, development and testing of applications.

 The candidate is expected to write code himself/herself.

 The candidate is expected to write code, code review, unit testing and deployment.

 Practical application of design principles with a focus on the user experience, usability, template designs, and client server concepts.

 Contributes to the development of project estimates, scheduling, and deliverables.

 Works closely with QA team to determine testing requirements to ensure full coverage and best quality of product.

 There is also the opportunity to mentor and guide junior team members in excelling their jobs.




Requirements




 BE/B. Tech. from a reputed University.

 1-3 Years of experience in software development, with emphasis on JAVA/J2EE Server side programming.

 Hands on experience in Core Java, Multithreading, RMI, Socket programming, JDBC, NIO, webservices and Design patterns.

 Should have Knowledge of distributed system, distributed caching, messaging frameworks, ESB etc.

 Knowledge of Linux operating system and PostgreSQL/MySQL/MongoDB/Cassandra database is essential.

 Familiarity with message queue systems and AMQP and Kafka is desirable.

 Should have experience as a participant in Agile methodologies.

 Should have excellent written and verbal communication skills and presentation skills.

 This is not a Fullstack requirement, we are purely looking out for Backend resources.




*Games24x7 is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, colour, religion, sex, disability status, or any other characteristic protected by the law.*",2,"The ATS would perform poorly due to the complete absence of critical Java-related keywords (e.g., 'Java', 'J2EE', 'multithreading', 'JDBC', 'RMI', 'socket programming') which are central to the job description. Although there are matches for general backend terms like 'Kafka', 'Linux', 'PostgreSQL', 'distributed system', 'code review', and 'B.Tech', the lack of the primary programming language keywords would almost certainly lead to immediate disqualification by the system, regardless of the resume's excellent formatting and clear structure.",,"The job explicitly requires an 'expert in the Java programming language' with 'emphasis on Java/J2EE server-side programming' and lists numerous Java-specific technologies. Piyush's profile is entirely focused on Python and related ecosystems, with no mention of Java. While his experience in backend development, distributed systems, and databases is strong, the fundamental language requirement is a complete mismatch, making the job highly irrelevant to his core skill set.",2,2
job_4,"Job Summary: Software Engineer
Software Engineer
Get Well
Bengaluru, Karnataka, India (On-site)
Viewed
Easy Apply 

 Job Details: About the job

Title: Software Engineer

Reporting to: Senior Director, Product Development

Location: Bengaluru (Bangalore)

Opportunity

Get Well is seeking a technically adept Software Engineer to implement scalable, secure services and processing systems within a regulated healthcare environment. This role is ideal for an early-career engineer eager to grow their skills in a dynamic, mission-driven team.

Responsibilities

Platform Development Support

Assist in designing, developing, and testing microservices and APIs (REST and FHIR) to support AI agents, clinical applications, and external integrations.Implement platform components under the guidance of senior engineers and architects, ensuring alignment with enterprise goals for scalability and reliability.Write clean, maintainable, and efficient code using modern programming frameworks (e.g., Spring Boot, Node.js, or Python Flask/FastAPI).

System Maintenance & Optimization


Support the maintenance and optimization of platform services to ensure performance, scalability, and reliability in a healthcare-critical environment.
Assist in implementing monitoring, logging, and alerting mechanisms to maintain system health and support issue resolution.
Participate in debugging and resolving technical issues under the mentorship of senior team members.


Compliance & Security


Adhere to secure coding practices and healthcare regulatory requirements (e.g., HIPAA, GDPR) as directed by senior engineers and governance teams.
Assist in implementing data privacy measures, such as encryption and access controls, to ensure compliance with healthcare standards.
Support audit logging and documentation efforts to maintain traceability and compliance.


Collaboration & Agile Practices


Collaborate with cross-functional teams, including data engineers, AI/ML engineers, and product managers, to deliver integrated solutions.
Actively participate in agile development processes, including sprint planning, daily stand-ups, and retrospectives, to contribute to team goals.
Engage in code reviews to learn best practices and improve code quality under the guidance of senior engineers.


Learning & Growth


Stay informed about software engineering trends, cloud-native technologies, and healthcare interoperability standards through training and mentorship.
Contribute to prototyping and evaluating new tools or frameworks to enhance platform capabilities.
Actively seek feedback and apply best practices to grow technical expertise in software development.


Requirements

Education & Experience


Bachelors or Masters degree in Computer Science or related technical discipline
13 years of experience in software development, including internships, academic projects, or entry-level roles
Exposure to designing or implementing backend services or APIs is a plus.


Technical Proficiency


Proficiency in at least one programming language such as Java, Python, or JavaScript/TypeScript for building APIs or backend services.
Basic understanding of cloud platforms (e.g., AWS, Azure, Google Cloud) and containerization technologies (e.g., Docker) is a plus.
Familiarity with API development frameworks (e.g., Spring Boot, FastAPI, Express.js) or version control systems (e.g., Git).


Professional Skills


Strong problem-solving skills with a willingness to learn and tackle technical challenges.
Good collaboration and communication skills, with the ability to work effectively in a team-oriented environment.
Proactive, detail-oriented, and eager to grow in a fast-paced, innovative setting.


About Get Well

Now part of the SAI Group family, Get Well is redefining digital patient engagement by putting patients in control of their personalized healthcare journeys, both inside and outside the hospital. Get Well is combining high-tech AI navigation with high-touch care experiences driving patient activation, loyalty, and outcomes while reducing the cost of care. For almost 25 years, Get Well has served more than 10 million patients per year across over 1,000 hospitals and clinical partner sites, working to use longitudinal data analytics to better serve patients and clinicians. AI innovator SAI Group led by Chairman Romesh Wadhwani is the lead growth investor in Get Well. Get Wells award-winning solutions were recognized again in 2024 by KLAS Research and AVIA Marketplace. Learn more at Get Well and follow-us on LinkedIn and Twitter.

Get Well is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age or veteran status.

About SAI Group


SAIGroup commits to $1 Billion capital, an advanced AI platform that currently processes 300M+ patients, and 4000+ global employee base to solve enterprise AI and high priority healthcare problems. SAIGroup - Growing companies with advanced AI; https://www.cnbc.com/2023/12/08/75-year-old-tech-mogul-betting-1-billion-of-his-fortune-on-ai-future.html
Bio of our Chairman Dr. Romesh Wadhwani: Team - SAIGroup (Informal at Romesh Wadhwani - Wikipedia)
TIME Magazine recently recognized Chairman Romesh Wadhwani as one of the Top 100 AI leaders in the world - Romesh and Sunil Wadhwani: The 100 Most Influential People in AI 2023 | TIME",8,"The resume is highly optimized for ATS, featuring clear sections, standard formatting, and a strong density of relevant keywords. Key terms like 'Software Engineer,' 'Python,' 'API,' 'REST API,' 'Flask,' 'Cloud' (Azure, GCP), 'Docker,' 'Kubernetes,' 'Kafka,' 'Airflow,' 'PostgreSQL,' 'monitoring,' 'scalability,' and 'collaboration' are prominently present. While specific healthcare compliance terms (HIPAA, FHIR) are missing, the overwhelming number of direct technical keyword matches and the precise experience level fit would ensure a high ATS ranking.",,"Piyush's profile is an excellent technical match for this 'early-career' Software Engineer role. His 2+ years of experience in Python, API development (Flask, REST), cloud platforms (Azure, GCP), containerization (Docker, Kubernetes), and building scalable systems aligns perfectly with the job's core technical requirements. The primary gap is the lack of explicit experience with healthcare-specific regulations (HIPAA, GDPR, FHIR), but for an early-career position, this is often a learnable aspect rather than a strict prerequisite.",8,8
job_0,"Job Summary: SDE II - Backend Engineer
SDE II - Backend Engineer with verification
Livspace
Bengaluru, Karnataka, India (On-site)
2 company alumni work here
2 Walmart Global Tech India company alumni work here
Viewed
Promoted
Easy Apply 

 Job Details: About the job

We are seeking a talented and motivated Software Development Engineer II (SDE-II) to join our dynamic engineering team. As an SDE-II , you will be responsible for contributing to the development and maintenance of software applications. 

Key Responsibilities:

Write efficient, well-documented, and maintainable code using best practices.
Analyze and troubleshoot software defects and issues, providing timely resolutions.
Contribute to identifying and implementing improvements in the development process.
Work closely with team members, including product managers, designers, and other developers, to deliver robust and scalable software solutions.
Develop and execute unit tests to ensure the reliability and correctness of code.
Collaborate with quality assurance teams to identify and address software defects.
Create and maintain technical documentation, including design documents, coding standards, and release notes.
Actively participate in professional development activities and seek opportunities for continuous learning.
Strong understanding of software development fundamentals and principles.
Knowledge of data structures, algorithms, and object-oriented design.
Excellent problem-solving and analytical skills.
Good communication and collaboration skills.
Ability to work effectively in a fast-paced and dynamic team environment.




Skills And Expertise

B.Tech/B.E. in Computer Science, Information Technology, or equivalent from a top-tier institute.
3+ years of experience with software development
Exceptional written and verbal communication skills.
Experience with one or more programming languages (e.g., Java, Python, Go).
Familiarity with version control systems (e.g., Git).
Understanding of software development methodologies (e.g., Agile, Scrum)",8,"Piyush's profile is highly optimized for an ATS, featuring excellent keyword matching for technical skills (Python, DS, Algo, System Design, Problem Solving, Communication, Collaboration), education (IIT, B.Tech), and tools (Git, Pytest). The resume is well-structured with clear sections and quantifiable achievements. The primary hurdle for the ATS would be the '3+ years of experience' requirement, as Piyush's full-time experience is slightly under this threshold, which could trigger a filter depending on the ATS's strictness.",,"The job is a decent match for Piyush's profile, particularly due to his strong Python skills, experience with scalable systems, and top-tier education. However, the job requests 3+ years of experience, while Piyush has approximately 2 years and 2 months of full-time experience. Additionally, his profile leans heavily into Data Engineering and Big Data, whereas the job description is for a more generic 'Backend Engineer' role without specific mention of data-intensive backend work, making it not an ideal, but still a viable, fit.",7,7
job_6,"Job Summary: Software Engineer
Software Engineer with verification
IQVIA
Bengaluru, Karnataka, India (Hybrid)
Company review time is typically 1 week
Viewed
Promoted
Easy Apply 

 Job Details: About the job

Role : Software development Engineer

Experience : 1 Years to 3 Years

Job Location : Kochi/Bangalore




Job Description Summary

We are seeking a motivated and skilled MDM Developer to join our dynamic team focusing on Reltio MDM and ETL processes. The ideal candidate will possess 1 to 2 years of experience in ETL development, SQL queries and a strong background in database management. This role requires a proactive individual who can work collaboratively with project leads and independently manage tasks with good judgment.




Responsibilities:

Collaborate closely with project leads to execute assigned tasks effectively.
Design and develop MDM and ETL interfaces tailored to client specifications ensuring alignment with business objectives.
Provide support in identifying and resolving production issues ensuring minimal disruption to operations.
Document work procedures and processes in accordance with established standards maintaining comprehensive records.
Deliver high-quality code to the QA team ensuring thorough testing and validation.
Participate actively in peer reviews to uphold coding standards and improve overall code quality.
Maintain and update standards documents ensuring compliance with organizational policies.
Adhere to Quality Information Management System (QIMS) policies and standards promoting best practices.
Demonstrate a solid understanding of the Software Development Life Cycle (SDLC).
Experience with Agile or iterative development methodologies is advantageous.
Exhibit strong communication and collaboration skills fostering a positive team environment.
Quickly grasp complex concepts and processes applying them effectively in project tasks.
Display excellent time management and organizational skills prioritizing tasks efficiently.
Work independently with minimal supervision exercising sound judgment in decision-making.




Technical Skills/Experience:

1 to 3 years of experience in ETL development with proficiency in SQL queries and database management.
Hands-on experience with any ETL tool for at least 1 year.
Familiarity with Reltio MDM.
Proficient in Oracle PL/SQL with the ability to write and optimize queries.
Knowledge of REST API and JSON is a plus.
Experience with Python and/or Java is beneficial enhancing integration capabilities.




Additional Information:

Shift: General shift
Work Mode: Hybrid with locations in Bangalore/Kochi/Pune
Candidates should be willing to work from the office twice a week.",6,"Piyush's resume contains many strong keywords like 'Software Engineer,' 'ETL,' 'Python,' 'SQL,' 'REST API,' and specific tools like 'Airflow' and 'PySpark,' which will score well. However, the critical and frequently mentioned keywords 'Reltio MDM' and 'MDM developer' are entirely absent. An ATS heavily weighted for these specific terms, given the job's focus, would likely flag this as a significant mismatch, despite the presence of other relevant skills.",,"Piyush's profile is a strong match for the general Software Engineer and ETL development aspects, fitting the experience range and possessing excellent Python, SQL, and cloud-based ETL skills. However, the job description heavily emphasizes 'Reltio MDM' and the role of an 'MDM developer,' which are specific areas Piyush's profile does not cover. This significant gap in a core requirement lowers the overall relevance.",6,6
job_5,"Job Summary: Software Engineer
Software Engineer with verification
BrightEdge
India (Remote)
Actively reviewing applicants
Applied 

 Job Details: About the job

Job Description: Full Stack Engineer

Location: INDIA, Remote

Experience: 4  6 years

Employment Type: Full time

About the Role:

We are looking for a highly skilled Full Stack Engineer with 4 6 years of experience who is proficient in JavaScript, ReactJS, Python, databases, and cloud platforms (AWS/GCP). The ideal candidate should have experience working in fast-paced environments, preferably in startups, and be comfortable handling both front-end and back-end development.




Key Responsibilities:

Design, develop, and maintain scalable web applications using ReactJS and Python.
Build and optimize APIs and backend services for high performance and scalability.
Work with databases (SQL/NoSQL) for data modeling and efficient storage solutions.
Deploy, manage, and optimize applications in AWS/GCP cloud environments.
Collaborate with cross-functional teams to define, design, and ship new features.
Ensure application security, performance, and maintainability.
Troubleshoot, debug, and upgrade existing applications.
Follow best practices in coding, testing, and DevOps for continuous improvement.




Required Skills & Qualifications:

4  6 years of experience in full stack development.
Expertise in JavaScript (ReactJS), Python, and backend development.
Strong knowledge of databases (SQL & NoSQL) and data management.
Experience with AWS or GCP cloud services for deployment and infrastructure management.
Familiarity with microservices architecture, RESTful APIs, and serverless computing.
Understanding of CI/CD pipelines, Docker, and Kubernetes is a plus.
Experience working in fast-moving, startup environments.
Strong problem-solving skills, ability to work independently and in a team.

Why Join Us?

Opportunity to work on cutting-edge technology in a dynamic environment.
A fast-paced startup culture with rapid learning and growth opportunities.
Competitive salary, flexible work environment, and exciting challenges.",5,"The profile contains a high density of relevant keywords (Python, JavaScript, ReactJS, SQL, GCP, Docker, Kubernetes, CI/CD, APIs, Backend, etc.), which an ATS would pick up favorably. However, the most significant hurdle is the experience mismatch (2.5 years vs. 4-6 years required), which is a common hard filter for ATS systems and would likely significantly lower the score or even disqualify the application in the initial screening phase.",,"The primary mismatch is the required 4-6 years of experience versus the user's approximately 2.5 years of professional experience. While there's a good technical overlap in backend, cloud, and databases, the job's strong emphasis on ReactJS for a 'Full Stack Engineer' isn't a prominent part of the user's recent, extensive professional experience, which leans more towards data engineering and backend services.",3,3
job_8,"Job Summary: Quant Developer
Quant Developer
OptimusPrime Securities and Research LLP
Bengaluru, Karnataka, India (On-site)
Actively reviewing applicants
Viewed
Promoted
Easy Apply 

 Job Details: About the job

Job Description: Quant Developer




Job Summary




As a Quant Developer at OptimusPrime Research, you will work closely with quantitative researchers and traders to design, implement, and optimize high-performance trading algorithms and analytical tools. You will play a key role in bridging the gap between research and production, ensuring that our strategies are robust, scalable, and efficient.




Key Responsibilities




 Collaborate with quantitative researchers to implement and optimize trading strategies and models.

 Develop and maintain high-performance, low-latency trading systems and infrastructure.

 Design and implement tools for data analysis, back testing, and simulation of trading strategies.

 Work with large datasets to build and improve data pipelines for research and production.

 Ensure code quality, reliability, and scalability through rigorous testing and code reviews.

 Stay up-to-date with the latest technologies and methodologies in quantitative finance and software development.

 Troubleshoot and resolve issues in real-time trading environments.




Qualifications




o Bachelors, Masters, or PhD in Computer Science, Mathematics, Physics, Engineering, or a related field.

o 2+ years of experience in software development

o Strong programming skills in C++. Experience with Python libraries (e.g., NumPy, pandas, scikit-learn) is a plus.

o Experience with high-performance computing, parallel processing, and low-latency systems.

o Familiarity with financial markets, trading concepts, and quantitative finance.

o Strong problem-solving and analytical skills.

o Excellent communication and collaboration abilities.

o Ability to work in a fast-paced, dynamic environment.",5,"The resume is well-formatted and contains many general software development and data engineering keywords like Python, distributed computing, data pipelines, and scalability. However, it lacks crucial domain-specific keywords such as 'quantitative finance,' 'trading,' 'low-latency trading systems,' and a strong emphasis on C++, which an ATS would prioritize for a 'Quant Developer' role, likely resulting in a moderate match score.",,"While Piyush possesses strong software development and data engineering skills, and a solid academic background from IIT, the job explicitly requires strong C++ proficiency and familiarity with quantitative finance and trading concepts. His profile heavily emphasizes Python-based data engineering and lacks any direct experience or mention of financial markets or low-latency trading systems, making it a significant domain mismatch.",4,4
job_7,"Job Summary: Software Engineer
Software Engineer with verification
Squarepoint
Bangalore Urban, Karnataka, India (Hybrid)
Company review time is typically 1 week
Viewed
Promoted
Easy Apply 

 Job Details: About the job

Position Overview:

Manage delivery of strategic initiatives in Order entry and Drop copy flows, owning projects from start to finish.
Work closely with developers and stakeholders on business and technical scoping of new projects.
Gather and refine requirement for venue onboarding both from internal and external stakeholders, coordinate and deliver implementation from front to back.
Write and review technical documentation such as exchange specifications, migration plans.
Own migrations such as hardware changes or moving our applications from classic to new generation platforms.
Clearly identifying and resolving blockers for our development teams from external dependencies.
Provide regular progress status reporting to stakeholders,
Manage communication with external vendors, exchanges, and providers to push forward the interests of the firm
Identify efficiency gaps on the team and work diligently to resolve them




Required Qualifications:

Bachelors degree in Computer Science, Engineering, or related subject
Atleast 2 years of relevant experience as systems integrator and exposure to Exchange Connectivity.
Proficiency in Linux OS
Proficiency in FIX protocol
Good understanding of Trade Life Cycle.
Experience with Business-Driven Software integration, Application Lifecycle Management, Change and Release management.
Great communication skills, both verbal and written.
Ability to clearly articular concepts in both a technical and non-technical manner
Highly organized with excellent attention to detail
Experience with Jira and Confluence




Nice to have:

Project management / technical business analyst experience
Proficiency in C++ or Python
Familiarity with CI/CD pipelines
Financial knowledge across various asset classes .",5,"The profile contains many relevant keywords like 'Software Engineer,' 'Python,' 'Linux,' 'CI/CD pipelines,' and 'Fintech,' which align well with the job description. However, the ATS would likely flag the absence of crucial required keywords such as 'systems integrator,' 'exchange connectivity,' and 'FIX protocol,' which are central to the role's requirements. The lack of explicit mention of 'Jira' and 'Confluence' also contributes to a lower keyword match for an ATS.",,"The user's strong background as a Software Developer and Data Engineer with experience in Fintech, distributed computing, and CI/CD offers some transferable skills. However, the job specifically requires experience as a 'systems integrator' with 'exchange connectivity' and 'FIX protocol,' which are not explicitly demonstrated in the user's profile. This creates a significant gap in core required qualifications, making the match less direct for this specialized role.",5,5
job_9,"Job Summary: Python Developer
Python Developer with verification
CAST
Greater Bengaluru Area (Hybrid)
Actively reviewing applicants
Viewed
Promoted
Easy Apply 

 Job Details: About the job

About CAST

Businesses move faster using CAST technology to understand, improve, and transform their software. Through semantic analysis of source code, CAST produces 3D maps and dashboards to navigate inside individual applications and across entire portfolios. This intelligence empowers executives and technology leaders to steer, speed, and report on initiatives such as technical debt, GenAI, modernization, and cloud. As the pioneer of the software intelligence field, CAST is trusted by the worlds leading companies and governments, their consultancies and cloud providers. See it all castsoftware.com.




Role Expectations: 

The successful candidate will be an intelligent, highly energetic self-starter with excellent communication, technical skills with a solid technical background in the application development world. Experience of working in Automation, DevOps, scripting is mandatory. 

Prior experience in working with SQL Queries would be a big plus. 

And you love and understand complex technologies, and always seek out engaging technical discussions and has the appetite to work in a fast-paced consulting environment.




Responsibilities: 

You will help address AIP (CASTs product) integration with various customers DevOps pipeline, proposing solutions to optimize their onboarding and rescans, writing scripts to automate client manual activities and handling infrastructure activities in order to automate as much as possible. You will achieve this by working closely with our Managed Services team in our Bangalore office (which is our internal client). 

You will leverage the tools & expertise from our corporate Information Technology team located in France and in Bangalore.




Role combines a thorough understanding of the product and recommending the CAST solutions. 




Solution Oriented Mindset

Lead project in all technical aspects of tooling and DevOps
Proactively lead tools new versions release cycle and documentation
Proactively identify risks related to application /deliverables and propose a mitigation plan
Provide custom solutions as per customer requirements




Autonomy & Problem Solving Mindset

Work in complete autonomy to deliver project deliverables, for advanced technical deliverables, with required level of quality
Must have troubleshooting skills 




Agile Mindset

Contribute to improvement of internal process, tooling, and quality process
Design, build and collect technical materials as part of project executions in a spirit of reusability for future engagements and maintain knowledge on best practices, tools, and reusable components for CAST analysis




Experience of the AD world, excellent problem solving & solution-oriented skills, communication skills and a very strong drive are key characteristics for success. 




Qualifications:

Bachelors Degree (or equivalent) in a technical discipline.
Minimum of 2+ years of strong hands-on knowledge of Python 3.
Strong hands-on experience in relational DB using PostgreSQL/ MySQL/ MSSQL/ Oracle etc.
Knowledge of GIT / GitHub or any SCM tool is essential.
Knowledge of Atlassian tools like Jira, Confluence is an added advantage.
Understanding of CI/CD (Jenkins / TeamCity / Bamboo / Gitlab pipelines).
Some exposure to J2EE/.Net technologies will be an added advantage.
Should be able to research and learn new technologies rapidly.
Excellent communication skills (oral and written) including an ability to communicate effectively at senior levels within client organizations.
Strong knowledge of the Application Development world is mandatory.
Ability to work independently toward stated business goals.",9,"The user's profile is exceptionally well-structured for an ATS, featuring a dedicated 'Technical Skills' section that captures nearly all required and advantageous keywords like Python, SQL, DevOps, CI/CD, Git, and specific database/cloud technologies. The clear formatting, quantifiable achievements, and direct alignment of experience with job requirements would ensure a high match rate and strong ATS performance. The resume's clean layout and standard sections also contribute to easy parsing.",,"This job is an excellent match for Piyush's profile. His extensive experience in Python, SQL, DevOps, CI/CD, cloud platforms (Azure, GCP), and building scalable data solutions directly aligns with the core responsibilities of automating client activities, integrating products with DevOps pipelines, and leading technical aspects of tooling. His 2.5+ years of experience and strong technical background make him a highly relevant candidate, with only minor aspects like direct 'consulting environment' experience being less explicit.",9,9
