job_key,job_description,ats_score,ats_score_explanation,relevance_explanation,relevance_score,selection_chance
job_3,"Job Summary: Software Engineer (Backend)
Software Engineer (Backend) with verification
Games24x7
Bengaluru, Karnataka, India (On-site)
Actively reviewing applicants
Viewed
Promoted
Easy Apply 

 Job Details: About the job

Company Overview:




Games24x7 is Indias leading and most valuable multi-gaming unicorn. Were a full-stack gaming company, offering awesome game-playing experiences to over 100 million players through our products - Rummy Circle, Indias first and largest online rummy platform, My11Circle, the countrys fastest-growing fantasy sports platform.

A pioneer in the online skill gaming industry in India, Games24x7 was founded in 2006 when two New York University-trained economists Bhavin Pandya, and Trivikraman Thampy met at the computer lab and discovered their shared passion for online games. Weve always been a technology company at heart, and over the last decade and a half, weve built the organisation on a strong foundation of the science of gaming, leveraging behavioural science, artificial intelligence, and machine learning to provide immersive and hyper-personalised gaming experiences to each of our players.

Backed by marquee investors including Tiger Global Management, The Raine Group, and Malabar Investment Advisors, Games24x7 is leading the charge in Indias gaming revolution, constantly innovating and offering novel entertainment to players!

Our 800+ passionate teammates create their magic from our offices in Mumbai, Bengaluru, New Delhi, Miami.

For more information and career opportunities you may visit www.games24x7.com.




Summary of Role




The SDE-1 will be part of the Engineering/Development team in Play Games24x7 Pvt. Ltd. and will be responsible for taking ownership of the core products of the company. The applicant must have good communication, interpersonal, technical and analytical skills in order to take part in the collaborative and cooperative development process that delivers the high quality software we use to provide the best possible playing experience to our players. The applicant must be an expert in the Java programming language and needs to be familiar with popular IDEs, tools and scripting languages on the Linux operating system. Familiarity with an RDBMS, preferably MySQL, is essential to succeed in this position.




Responsibilities




 Participation in the requirements analysis, design, development and testing of applications.

 The candidate is expected to write code himself/herself.

 The candidate is expected to write code, code review, unit testing and deployment.

 Practical application of design principles with a focus on the user experience, usability, template designs, and client server concepts.

 Contributes to the development of project estimates, scheduling, and deliverables.

 Works closely with QA team to determine testing requirements to ensure full coverage and best quality of product.

 There is also the opportunity to mentor and guide junior team members in excelling their jobs.




Requirements




 BE/B. Tech. from a reputed University.

 1-3 Years of experience in software development, with emphasis on JAVA/J2EE Server side programming.

 Hands on experience in Core Java, Multithreading, RMI, Socket programming, JDBC, NIO, webservices and Design patterns.

 Should have Knowledge of distributed system, distributed caching, messaging frameworks, ESB etc.

 Knowledge of Linux operating system and PostgreSQL/MySQL/MongoDB/Cassandra database is essential.

 Familiarity with message queue systems and AMQP and Kafka is desirable.

 Should have experience as a participant in Agile methodologies.

 Should have excellent written and verbal communication skills and presentation skills.

 This is not a Fullstack requirement, we are purely looking out for Backend resources.




*Games24x7 is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, colour, religion, sex, disability status, or any other characteristic protected by the law.*",7,"The profile contains many relevant keywords like 'Software Developer', 'Backend', 'Python', 'Distributed Computing', 'Big Data', 'Cloud Platforms', 'ETL', 'REST APIs', 'CI/CD', 'Databricks', 'BigQuery', 'Kafka', 'Airflow', 'Azure', 'GCP', 'Linux', 'PostgreSQL', and 'System Design'. The formatting is clean and standard. The main weakness is the lack of Java-specific keywords, which is a core requirement for the job.","Piyush has strong backend development experience, particularly with Python, and has worked with distributed systems and cloud platforms. However, the job explicitly requires Java expertise, which is not mentioned in Piyush's profile, making it a significant gap.",6,6
job_2,"Job Summary: Python Developer
Python Developer with verification
Recro
Bengaluru, Karnataka, India (On-site)
Actively reviewing applicants
Viewed
Promoted
Easy Apply 

 Job Details: About the job

Location: Bengaluru, on-site




Experience: 3-6 yrs




Notice Period: Immediate




Note: Last round of interview would be face-to-face




Key Responsibilities:




Write clean, maintainable, and efficient Python code.
Design and implement scalable backend solutions using Python frameworks (e.g., Django, Flask, FastAPI).
Integrate with databases such as PostgreSQL, MySQL, or MongoDB.
Develop and maintain RESTful APIs.
Collaborate with front-end developers, designers, and other team members to deliver high-quality products.
Write unit and integration tests to ensure code quality.
Optimize applications for maximum performance and scalability.
Participate in code reviews and mentor junior developers if needed.




Required Skills & Qualifications:




Strong proficiency in Python and understanding of OOP principles.
Hands-on experience with one or more Python web frameworks (Django, Flask, FastAPI).
Experience with relational and non-relational databases.
Familiarity with version control tools (e.g., Git).
Knowledge of RESTful API design and integration.
Experience with cloud platforms (AWS, GCP, or Azure) is a plus.
Understanding of CI/CD processes is a bonus.
Bachelors degree in Computer Science, Engineering, or a related field.",9,"The user's resume is highly ATS-friendly for this role. It prominently features keywords like 'Python', 'Flask', 'Django', 'REST APIs', 'PostgreSQL', 'Azure', 'GCP', and 'CI/CD'. The formatting is clean and easy to parse, with clear sections for skills, experience, and education. The use of specific technologies within bullet points further enhances keyword density.","Piyush's profile aligns very well with this Python Developer role. His extensive experience with Python, Flask, Django, and REST APIs directly matches the core requirements. His background in data engineering also provides a strong foundation for building scalable backend solutions, and his experience with cloud platforms and CI/CD further strengthens the match.",9,9
job_0,"Job Summary: SDE II - Backend Engineer
SDE II - Backend Engineer with verification
Livspace
Bengaluru, Karnataka, India (On-site)
2 company alumni work here
2 Walmart Global Tech India company alumni work here
Viewed
Promoted
Easy Apply 

 Job Details: About the job

We are seeking a talented and motivated Software Development Engineer II (SDE-II) to join our dynamic engineering team. As an SDE-II , you will be responsible for contributing to the development and maintenance of software applications. 

Key Responsibilities:

Write efficient, well-documented, and maintainable code using best practices.
Analyze and troubleshoot software defects and issues, providing timely resolutions.
Contribute to identifying and implementing improvements in the development process.
Work closely with team members, including product managers, designers, and other developers, to deliver robust and scalable software solutions.
Develop and execute unit tests to ensure the reliability and correctness of code.
Collaborate with quality assurance teams to identify and address software defects.
Create and maintain technical documentation, including design documents, coding standards, and release notes.
Actively participate in professional development activities and seek opportunities for continuous learning.
Strong understanding of software development fundamentals and principles.
Knowledge of data structures, algorithms, and object-oriented design.
Excellent problem-solving and analytical skills.
Good communication and collaboration skills.
Ability to work effectively in a fast-paced and dynamic team environment.




Skills And Expertise

B.Tech/B.E. in Computer Science, Information Technology, or equivalent from a top-tier institute.
3+ years of experience with software development
Exceptional written and verbal communication skills.
Experience with one or more programming languages (e.g., Java, Python, Go).
Familiarity with version control systems (e.g., Git).
Understanding of software development methodologies (e.g., Agile, Scrum)",9,"Piyush's resume is highly ATS-friendly. It uses clear headings, bullet points, and explicitly lists relevant technical skills and technologies (Python, Flask, Django, REST APIs, Git, Cloud Platforms). The use of keywords like 'Software Developer,' 'Data Engineer,' 'backend,' 'scalable,' 'ETL,' and 'APIs' directly matches the job description, making it likely to pass initial ATS screening.","Piyush's profile aligns well with the SDE II Backend Engineer role. His experience at Walmart Global Tech India, particularly in developing scalable platforms, event-driven services, and REST APIs, directly maps to the job's responsibilities. His strong Python skills and experience with cloud platforms and distributed computing are highly relevant.",8,8
job_1,"Job Summary: Data Engineer 2
Data Engineer 2
Yubi
Bangalore Urban, Karnataka, India (On-site)
Actively reviewing applicants
Applied 

 Job Details: About the job

Data Engineer 2

Position Summary:

 As a Data Engineer, you will be part of a highly talented Data Engineering team. Responsible for developing reusable capabilities and tools to automate various types of data processing pipelines. You will be contributing to different stages of data engineering like data acquisition, ingestion, processing, monitoring pipelines and validating data.

Your contribution will be really crucial in keeping various data ingestion and processing pipelines running successfully. Along with ensuring the data points available in the data lake are up to date, valid and usable. 

Technology Experience:

3+ years of experience in data engineering.
Comfortable and hands on with the Python programming.
Strong experience in working with RDBMS and NoSQL systems.
Strong experience in working on AWS ecosystem with hands-on experience in working with different AWS components like Airflow, EMR , Redshift, S3, Athena, PySpark etc.
Strong experience in developing REST APIs with Python using frameworks like flask, fastapi.
Prior experience in working with crawling libraries like BeautifulSoup in Python would be desirable.
Proven ability to work with SQL queries, including writing complex queries to retrieve key metrics. Skilled in connecting to, exploring, and understanding upstream data.
Experience working with various data lake storage format types and ability to choose it based on the use cases.

Responsibilities:

Design and build scalable data pipelines that can handle large volumes of data.
Develop ETL/ELT pipelines and extract the data from any upstream sources and sync with the data lakes with the format of parquet, iceberg, delta formats. 
Optimize and ensure the data pipelines are running successfully and ensure the business continuity.
Collaborate with cross functional teams and source all the data required for the business use cases.
Stay up-to-date with emerging data technologies and trends to ensure the continuous improvement of our data infrastructure and architecture
Follow best practices in data querying and manipulation to ensure data integrity.",9,"Piyush's resume is likely to perform very well with an ATS. It is rich with keywords directly from the job description such as 'Data Engineer', 'Python', 'ETL', 'data pipelines', 'data lake', 'BigQuery', 'PySpark', 'Airflow', 'Kafka', 'REST APIs', 'Flask', and 'SQL'. The formatting is clean and standard, making it easy for an ATS to parse.","Piyush's profile is highly relevant to this Data Engineer role. His experience at Walmart Global Tech, particularly in designing data lakehouse platforms, engineering batch and streaming services, and implementing event-driven ETL frameworks, directly aligns with the job's responsibilities. His technical skills in Python, PySpark, Kafka, Airflow, BigQuery, and cloud platforms (GCP, Azure) are a strong match.",9,9
job_4,"Job Summary: Software Engineer
Software Engineer
Get Well
Bengaluru, Karnataka, India (On-site)
Viewed
Easy Apply 

 Job Details: About the job

Title: Software Engineer

Reporting to: Senior Director, Product Development

Location: Bengaluru (Bangalore)

Opportunity

Get Well is seeking a technically adept Software Engineer to implement scalable, secure services and processing systems within a regulated healthcare environment. This role is ideal for an early-career engineer eager to grow their skills in a dynamic, mission-driven team.

Responsibilities

Platform Development Support

Assist in designing, developing, and testing microservices and APIs (REST and FHIR) to support AI agents, clinical applications, and external integrations.Implement platform components under the guidance of senior engineers and architects, ensuring alignment with enterprise goals for scalability and reliability.Write clean, maintainable, and efficient code using modern programming frameworks (e.g., Spring Boot, Node.js, or Python Flask/FastAPI).

System Maintenance & Optimization


Support the maintenance and optimization of platform services to ensure performance, scalability, and reliability in a healthcare-critical environment.
Assist in implementing monitoring, logging, and alerting mechanisms to maintain system health and support issue resolution.
Participate in debugging and resolving technical issues under the mentorship of senior team members.


Compliance & Security


Adhere to secure coding practices and healthcare regulatory requirements (e.g., HIPAA, GDPR) as directed by senior engineers and governance teams.
Assist in implementing data privacy measures, such as encryption and access controls, to ensure compliance with healthcare standards.
Support audit logging and documentation efforts to maintain traceability and compliance.


Collaboration & Agile Practices


Collaborate with cross-functional teams, including data engineers, AI/ML engineers, and product managers, to deliver integrated solutions.
Actively participate in agile development processes, including sprint planning, daily stand-ups, and retrospectives, to contribute to team goals.
Engage in code reviews to learn best practices and improve code quality under the guidance of senior engineers.


Learning & Growth


Stay informed about software engineering trends, cloud-native technologies, and healthcare interoperability standards through training and mentorship.
Contribute to prototyping and evaluating new tools or frameworks to enhance platform capabilities.
Actively seek feedback and apply best practices to grow technical expertise in software development.


Requirements

Education & Experience


Bachelors or Masters degree in Computer Science or related technical discipline
13 years of experience in software development, including internships, academic projects, or entry-level roles
Exposure to designing or implementing backend services or APIs is a plus.


Technical Proficiency


Proficiency in at least one programming language such as Java, Python, or JavaScript/TypeScript for building APIs or backend services.
Basic understanding of cloud platforms (e.g., AWS, Azure, Google Cloud) and containerization technologies (e.g., Docker) is a plus.
Familiarity with API development frameworks (e.g., Spring Boot, FastAPI, Express.js) or version control systems (e.g., Git).


Professional Skills


Strong problem-solving skills with a willingness to learn and tackle technical challenges.
Good collaboration and communication skills, with the ability to work effectively in a team-oriented environment.
Proactive, detail-oriented, and eager to grow in a fast-paced, innovative setting.


About Get Well

Now part of the SAI Group family, Get Well is redefining digital patient engagement by putting patients in control of their personalized healthcare journeys, both inside and outside the hospital. Get Well is combining high-tech AI navigation with high-touch care experiences driving patient activation, loyalty, and outcomes while reducing the cost of care. For almost 25 years, Get Well has served more than 10 million patients per year across over 1,000 hospitals and clinical partner sites, working to use longitudinal data analytics to better serve patients and clinicians. AI innovator SAI Group led by Chairman Romesh Wadhwani is the lead growth investor in Get Well. Get Wells award-winning solutions were recognized again in 2024 by KLAS Research and AVIA Marketplace. Learn more at Get Well and follow-us on LinkedIn and Twitter.

Get Well is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age or veteran status.

About SAI Group


SAIGroup commits to $1 Billion capital, an advanced AI platform that currently processes 300M+ patients, and 4000+ global employee base to solve enterprise AI and high priority healthcare problems. SAIGroup - Growing companies with advanced AI; https://www.cnbc.com/2023/12/08/75-year-old-tech-mogul-betting-1-billion-of-his-fortune-on-ai-future.html
Bio of our Chairman Dr. Romesh Wadhwani: Team - SAIGroup (Informal at Romesh Wadhwani - Wikipedia)
TIME Magazine recently recognized Chairman Romesh Wadhwani as one of the Top 100 AI leaders in the world - Romesh and Sunil Wadhwani: The 100 Most Influential People in AI 2023 | TIME",9,"Piyush's resume is rich with keywords directly matching the job description, such as 'Software Engineer', 'Python', 'Flask', 'REST APIs', 'Cloud Platforms', 'Docker', 'GCP', 'Azure', and 'Agile'. The formatting is clean and professional, making it easily parsable by an ATS. The inclusion of specific technologies and quantifiable achievements further strengthens its ATS performance.","Piyush has a strong background in software development and data engineering with significant experience in Python, cloud platforms (GCP, Azure), and building APIs. The job requires similar skills, particularly in Python, API development, and cloud exposure. The primary gap is direct experience in the healthcare domain and specific frameworks like Spring Boot, though the role emphasizes learning and adaptability.",8,8
job_5,"Job Summary: Software Engineer
Software Engineer with verification
BrightEdge
India (Remote)
Actively reviewing applicants
Applied 

 Job Details: About the job

Job Description: Full Stack Engineer

Location: INDIA, Remote

Experience: 4  6 years

Employment Type: Full time

About the Role:

We are looking for a highly skilled Full Stack Engineer with 4 6 years of experience who is proficient in JavaScript, ReactJS, Python, databases, and cloud platforms (AWS/GCP). The ideal candidate should have experience working in fast-paced environments, preferably in startups, and be comfortable handling both front-end and back-end development.




Key Responsibilities:

Design, develop, and maintain scalable web applications using ReactJS and Python.
Build and optimize APIs and backend services for high performance and scalability.
Work with databases (SQL/NoSQL) for data modeling and efficient storage solutions.
Deploy, manage, and optimize applications in AWS/GCP cloud environments.
Collaborate with cross-functional teams to define, design, and ship new features.
Ensure application security, performance, and maintainability.
Troubleshoot, debug, and upgrade existing applications.
Follow best practices in coding, testing, and DevOps for continuous improvement.




Required Skills & Qualifications:

4  6 years of experience in full stack development.
Expertise in JavaScript (ReactJS), Python, and backend development.
Strong knowledge of databases (SQL & NoSQL) and data management.
Experience with AWS or GCP cloud services for deployment and infrastructure management.
Familiarity with microservices architecture, RESTful APIs, and serverless computing.
Understanding of CI/CD pipelines, Docker, and Kubernetes is a plus.
Experience working in fast-moving, startup environments.
Strong problem-solving skills, ability to work independently and in a team.

Why Join Us?

Opportunity to work on cutting-edge technology in a dynamic environment.
A fast-paced startup culture with rapid learning and growth opportunities.
Competitive salary, flexible work environment, and exciting challenges.",8,"The resume is well-structured and uses relevant keywords like 'Python', 'Reactjs', 'Databases', 'Cloud Platforms', 'APIs', 'ETL', 'Docker', 'Kubernetes', and 'GCP'. The clear separation of skills and experience sections will be easily parsed by an ATS. The inclusion of specific technologies within work experience further strengthens keyword matching.","Piyush has a strong background in Python development and cloud platforms (GCP), which are key requirements. His experience with building scalable applications, APIs, and data pipelines aligns well with the job description. However, the job emphasizes React.js and full-stack development, while Piyush's profile leans more towards data engineering and backend services, with React only mentioned in an internship.",7,7
job_7,"Job Summary: Software Engineer
Software Engineer with verification
Squarepoint
Bangalore Urban, Karnataka, India (Hybrid)
Company review time is typically 1 week
Viewed
Promoted
Easy Apply 

 Job Details: About the job

Position Overview:

Manage delivery of strategic initiatives in Order entry and Drop copy flows, owning projects from start to finish.
Work closely with developers and stakeholders on business and technical scoping of new projects.
Gather and refine requirement for venue onboarding both from internal and external stakeholders, coordinate and deliver implementation from front to back.
Write and review technical documentation such as exchange specifications, migration plans.
Own migrations such as hardware changes or moving our applications from classic to new generation platforms.
Clearly identifying and resolving blockers for our development teams from external dependencies.
Provide regular progress status reporting to stakeholders,
Manage communication with external vendors, exchanges, and providers to push forward the interests of the firm
Identify efficiency gaps on the team and work diligently to resolve them




Required Qualifications:

Bachelors degree in Computer Science, Engineering, or related subject
Atleast 2 years of relevant experience as systems integrator and exposure to Exchange Connectivity.
Proficiency in Linux OS
Proficiency in FIX protocol
Good understanding of Trade Life Cycle.
Experience with Business-Driven Software integration, Application Lifecycle Management, Change and Release management.
Great communication skills, both verbal and written.
Ability to clearly articular concepts in both a technical and non-technical manner
Highly organized with excellent attention to detail
Experience with Jira and Confluence




Nice to have:

Project management / technical business analyst experience
Proficiency in C++ or Python
Familiarity with CI/CD pipelines
Financial knowledge across various asset classes .",7,"The resume has good keyword density for 'Software Engineer', 'Python', 'Cloud Platforms', and 'CI/CD'. However, it lacks specific keywords like 'FIX protocol', 'systems integrator', 'exchange connectivity', and 'trade life cycle' which are critical for this role. The formatting appears clean and ATS-friendly.","Piyush has a strong background in software development and data engineering with relevant skills like Python, cloud platforms, and CI/CD. However, the job emphasizes systems integration, exchange connectivity, and FIX protocol, which are not explicitly detailed in Piyush's profile. The project management and business analysis aspects are also not directly highlighted.",6,6
job_6,"Job Summary: Software Engineer
Software Engineer with verification
IQVIA
Bengaluru, Karnataka, India (Hybrid)
Company review time is typically 1 week
Viewed
Promoted
Easy Apply 

 Job Details: About the job

Role : Software development Engineer

Experience : 1 Years to 3 Years

Job Location : Kochi/Bangalore




Job Description Summary

We are seeking a motivated and skilled MDM Developer to join our dynamic team focusing on Reltio MDM and ETL processes. The ideal candidate will possess 1 to 2 years of experience in ETL development, SQL queries and a strong background in database management. This role requires a proactive individual who can work collaboratively with project leads and independently manage tasks with good judgment.




Responsibilities:

Collaborate closely with project leads to execute assigned tasks effectively.
Design and develop MDM and ETL interfaces tailored to client specifications ensuring alignment with business objectives.
Provide support in identifying and resolving production issues ensuring minimal disruption to operations.
Document work procedures and processes in accordance with established standards maintaining comprehensive records.
Deliver high-quality code to the QA team ensuring thorough testing and validation.
Participate actively in peer reviews to uphold coding standards and improve overall code quality.
Maintain and update standards documents ensuring compliance with organizational policies.
Adhere to Quality Information Management System (QIMS) policies and standards promoting best practices.
Demonstrate a solid understanding of the Software Development Life Cycle (SDLC).
Experience with Agile or iterative development methodologies is advantageous.
Exhibit strong communication and collaboration skills fostering a positive team environment.
Quickly grasp complex concepts and processes applying them effectively in project tasks.
Display excellent time management and organizational skills prioritizing tasks efficiently.
Work independently with minimal supervision exercising sound judgment in decision-making.




Technical Skills/Experience:

1 to 3 years of experience in ETL development with proficiency in SQL queries and database management.
Hands-on experience with any ETL tool for at least 1 year.
Familiarity with Reltio MDM.
Proficient in Oracle PL/SQL with the ability to write and optimize queries.
Knowledge of REST API and JSON is a plus.
Experience with Python and/or Java is beneficial enhancing integration capabilities.




Additional Information:

Shift: General shift
Work Mode: Hybrid with locations in Bangalore/Kochi/Pune
Candidates should be willing to work from the office twice a week.",8,"Piyush's resume is rich with relevant keywords like 'ETL', 'Python', 'SQL', 'Databricks', 'BigQuery', 'Cloud Platforms', 'REST APIs', and 'Docker'. The formatting is clean and easy to parse. The primary gap for ATS would be the absence of 'Relatio MDM' and 'Oracle PL/SQL'.","Piyush has strong experience in data engineering, ETL, and cloud platforms, which aligns well with the job's focus on MDM and ETL. However, the specific mention of Relatio MDM and Oracle PL/SQL is not present in his profile, which is a key technical requirement.",7,7
job_9,"Job Summary: Python Developer
Python Developer with verification
CAST
Greater Bengaluru Area (Hybrid)
Actively reviewing applicants
Viewed
Promoted
Easy Apply 

 Job Details: About the job

About CAST

Businesses move faster using CAST technology to understand, improve, and transform their software. Through semantic analysis of source code, CAST produces 3D maps and dashboards to navigate inside individual applications and across entire portfolios. This intelligence empowers executives and technology leaders to steer, speed, and report on initiatives such as technical debt, GenAI, modernization, and cloud. As the pioneer of the software intelligence field, CAST is trusted by the worlds leading companies and governments, their consultancies and cloud providers. See it all castsoftware.com.




Role Expectations: 

The successful candidate will be an intelligent, highly energetic self-starter with excellent communication, technical skills with a solid technical background in the application development world. Experience of working in Automation, DevOps, scripting is mandatory. 

Prior experience in working with SQL Queries would be a big plus. 

And you love and understand complex technologies, and always seek out engaging technical discussions and has the appetite to work in a fast-paced consulting environment.




Responsibilities: 

You will help address AIP (CASTs product) integration with various customers DevOps pipeline, proposing solutions to optimize their onboarding and rescans, writing scripts to automate client manual activities and handling infrastructure activities in order to automate as much as possible. You will achieve this by working closely with our Managed Services team in our Bangalore office (which is our internal client). 

You will leverage the tools & expertise from our corporate Information Technology team located in France and in Bangalore.




Role combines a thorough understanding of the product and recommending the CAST solutions. 




Solution Oriented Mindset

Lead project in all technical aspects of tooling and DevOps
Proactively lead tools new versions release cycle and documentation
Proactively identify risks related to application /deliverables and propose a mitigation plan
Provide custom solutions as per customer requirements




Autonomy & Problem Solving Mindset

Work in complete autonomy to deliver project deliverables, for advanced technical deliverables, with required level of quality
Must have troubleshooting skills 




Agile Mindset

Contribute to improvement of internal process, tooling, and quality process
Design, build and collect technical materials as part of project executions in a spirit of reusability for future engagements and maintain knowledge on best practices, tools, and reusable components for CAST analysis




Experience of the AD world, excellent problem solving & solution-oriented skills, communication skills and a very strong drive are key characteristics for success. 




Qualifications:

Bachelors Degree (or equivalent) in a technical discipline.
Minimum of 2+ years of strong hands-on knowledge of Python 3.
Strong hands-on experience in relational DB using PostgreSQL/ MySQL/ MSSQL/ Oracle etc.
Knowledge of GIT / GitHub or any SCM tool is essential.
Knowledge of Atlassian tools like Jira, Confluence is an added advantage.
Understanding of CI/CD (Jenkins / TeamCity / Bamboo / Gitlab pipelines).
Some exposure to J2EE/.Net technologies will be an added advantage.
Should be able to research and learn new technologies rapidly.
Excellent communication skills (oral and written) including an ability to communicate effectively at senior levels within client organizations.
Strong knowledge of the Application Development world is mandatory.
Ability to work independently toward stated business goals.",9,"Piyush's resume is rich with keywords directly matching the job description, such as 'Python', 'DevOps', 'automation', 'SQL', 'PostgreSQL', 'Git/GitHub', and 'CI/CD'. The formatting appears clean and professional, making it easily parsable by an ATS. His experience with cloud platforms and data pipelines also indirectly supports many of the job's requirements.","Piyush has a strong foundation in Python development and experience with cloud platforms and data engineering, which aligns well with the job's focus on Python and DevOps integration. While the job description mentions ""ad world"" experience as a plus, which Piyush doesn't explicitly have, his core technical skills and experience in building scalable systems and automation are highly relevant.",7,7
job_11,"Job Summary: Software Engineer
Software Engineer with verification
Publicis Sapient
Bengaluru, Karnataka, India (Hybrid)
Actively reviewing applicants
Viewed
Promoted
Easy Apply 

 Job Details: About the job

4+ years of strong development skills in Java with JDK 1. 8 & above version & Microservices with Spring boot/ Spring. Should have strong acumen in Data Structures, Algorithms, problem-solving and Logical/Analytical skills. Thorough understanding ofOOPS concepts, Design principles and implementation of different type of Design patterns. Soundunderstandingof concepts likeExceptionalhandling,Serialization/Deserialization and Immutability concepts, etc. Good fundamental knowledge in Enums, Collections,Annotations, Generics,Auto boxing, etc. Experience with Multithreading, Concurrent Package and Concurrent APIs Basic understanding of Java Memory Management (JMM) including garbage collections concepts. Experience in RDBMS or NO SQL databases and writing SQL queries (Joins, group by, aggregate functions, etc.) Experience with at-least one NoSQL (Any of Cassandra/Couch base/Hadoop), Hands-on experience with JMS Hands-on experience in creating RESTful webservices and consuming webservices 




ramya.n@publicissapient.com",4,"The ATS would likely flag a low match due to the absence of primary keywords like 'Java', 'Spring Boot', 'JDK', and related Java concepts. While 'Python', 'Big Data', and 'API' are present, they don't align with the core requirements. The formatting is clean, but the keyword gap is substantial.","The user's profile is heavily focused on Python and Big Data technologies, while the job description explicitly requires strong Java development skills with Spring Boot. While there are transferable skills in data structures, algorithms, and API development, the core technology stack mismatch significantly lowers the relevance.",3,3
